Regulation ID,Regulation Name,Regulation Status,Oversight Group,Risk Rating,Sub-Requirement ID,Sub-Requirement Name,Control ID,Control Name,Impacted Location
REG-00000018,Regulation 000000AH,Active,Business Group,Low ,RQMT-00001445,Sub-Requirement 0JMMN,,,"Canada,Europe,US"
REG-00000018,Regulation 000000AH,Active,Business Group,Low ,RQMT-00001419,Sub-Requirement 0JMJR,,,"Canada,Europe,US"
REG-00000020,Regulation 000000B0,Active,Business Group,Low ,RQMT-00001767,Sub-Requirement 0JPOP,,,"Canada,Europe,US"
REG-00000020,Regulation 000000B0,Active,Business Group,Low ,RQMT-00003428,Sub-Requirement 0LMKQ,,,"Canada,US"
REG-00000020,Regulation 000000B0,Active,Business Group,Low ,RQMT-00003177,Sub-Requirement 0LJPP,,,Canada
REG-00000020,Regulation 000000B0,Active,Business Group,Low ,RQMT-00003172,Sub-Requirement 0LJPK,,,"Canada,US"
REG-00000022,Regulation 000000BB,Active,Legal Group,Low ,RQMT-00005234,Sub-Requirement 0NKLM,,,"Canada,Europe,US"
REG-00000025,Regulation 000000BE,Active,Business Group,Medium ,RQMT-00014253,Sub-Requirement JMKNL,,,"Canada,Europe,US"
REG-00000025,Regulation 000000BE,Active,Business Group,Medium ,,,CTRL-00002814,Control  - RJNGKQTNNVQZGL,"Canada,Europe,US"
REG-00000025,Regulation 000000BE,Active,Business Group,Medium ,,,CTRL-00002117,Control  - XLAYVGOUPPTTWB,Canada
REG-00000025,Regulation 000000BE,Active,Business Group,Medium ,,,CTRL-00002116,Control  - OABRLJJMHXTXJF,"Canada,Europe,US"
REG-00000025,Regulation 000000BE,Active,Business Group,Medium ,RQMT-00014254,Sub-Requirement JMKNM,,,Canada
REG-00000027,Regulation 000000BG,Active,Compliance Group,Medium ,RQMT-00001911,Sub-Requirement 0JRJJ,,,"Canada,US"
REG-00000027,Regulation 000000BG,Active,Compliance Group,Medium ,,,,,Canada
REG-00000027,Regulation 000000BG,Active,Compliance Group,Medium ,,,,,"Canada,Europe,US"
REG-00000027,Regulation 000000BG,Active,Compliance Group,Medium ,RQMT-00024284,Sub-Requirement KMKQM,,,"Canada,US"
REG-00000027,Regulation 000000BG,Active,Compliance Group,Medium ,RQMT-00008617,Sub-Requirement 0QOJP,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00000680,Sub-Requirement 00OQ0,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,,,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,,,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,,,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00015564,Sub-Requirement JNNOM,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00015563,Sub-Requirement JNNOL,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00015562,Sub-Requirement JNNOK,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00015561,Sub-Requirement JNNOJ,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00015560,Sub-Requirement JNNO0,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00015559,Sub-Requirement JNNNR,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00005270,Sub-Requirement 0NKP0,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00005251,Sub-Requirement 0NKNJ,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00005239,Sub-Requirement 0NKLR,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00005031,Sub-Requirement 0N0LJ,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00005025,Sub-Requirement 0N0KN,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00005023,Sub-Requirement 0N0KL,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00004983,Sub-Requirement 0MRQL,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00004776,Sub-Requirement 0MPPO,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00004717,Sub-Requirement 0MPJP,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00004318,Sub-Requirement 0MLJQ,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00004317,Sub-Requirement 0MLJP,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00004309,Sub-Requirement 0ML0R,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00004307,Sub-Requirement 0ML0P,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00004302,Sub-Requirement 0ML0K,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003976,Sub-Requirement 0LRPO,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003968,Sub-Requirement 0LROQ,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,,,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003028,Sub-Requirement 0L0KQ,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003026,Sub-Requirement 0L0KO,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003020,Sub-Requirement 0L0K0,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003014,Sub-Requirement 0L0JM,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00002656,Sub-Requirement 0KONO,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001936,Sub-Requirement 0JRLO,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001931,Sub-Requirement 0JRLJ,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001925,Sub-Requirement 0JRKN,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003967,Sub-Requirement 0LROP,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003966,Sub-Requirement 0LROO,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003965,Sub-Requirement 0LRON,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003964,Sub-Requirement 0LROM,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003963,Sub-Requirement 0LROL,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003962,Sub-Requirement 0LROK,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003932,Sub-Requirement 0LRLK,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001760,Sub-Requirement 0JPO0,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001745,Sub-Requirement 0JPMN,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001744,Sub-Requirement 0JPMM,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001468,Sub-Requirement 0JMOQ,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001416,Sub-Requirement 0JMJO,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001409,Sub-Requirement 0JM0R,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001395,Sub-Requirement 0JLRN,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001273,Sub-Requirement 0JKPL,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003427,Sub-Requirement 0LMKP,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003426,Sub-Requirement 0LMKO,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003418,Sub-Requirement 0LMJQ,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003417,Sub-Requirement 0LMJP,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003366,Sub-Requirement 0LLOO,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003306,Sub-Requirement 0LL0O,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003299,Sub-Requirement 0LKRR,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00003294,Sub-Requirement 0LKRM,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001272,Sub-Requirement 0JKPK,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001271,Sub-Requirement 0JKPJ,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001196,Sub-Requirement 0JJRO,,,Canada
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001195,Sub-Requirement 0JJRN,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001097,Sub-Requirement 0J0RP,,,"Canada,Europe,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001096,Sub-Requirement 0J0RO,,,"Canada,US"
REG-00000029,Regulation 000000BI,Active,Business Group,Low ,RQMT-00001095,Sub-Requirement 0J0RN,,,Canada
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,RQMT-00014088,Sub-Requirement JM0QQ,,,"Canada,US"
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,,,,,Canada
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,,,,,"Canada,US"
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,,,,,"Canada,Europe,US"
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,RQMT-00014202,Sub-Requirement JMK0K,,,"Canada,US"
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,RQMT-00014201,Sub-Requirement JMK0J,,,Canada
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,RQMT-00014092,Sub-Requirement JM0RK,,,Canada
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,RQMT-00014091,Sub-Requirement JM0RJ,,,"Canada,US"
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,RQMT-00014090,Sub-Requirement JM0R0,,,Canada
REG-00000033,Regulation 000000CC,Expired,Business Group,Low ,RQMT-00014089,Sub-Requirement JM0QR,,,"Canada,US"
REG-00000036,Regulation 000000CF,Active,Legal Group,Low ,RQMT-00002348,Sub-Requirement 0KLMQ,,,Canada
REG-00000036,Regulation 000000CF,Active,Legal Group,Low ,,,,,"Canada,US"
REG-00000038,Regulation 000000CH,Expired,Legal Group,,RQMT-00001641,Sub-Requirement 0JOMJ,,,Canada
REG-00000039,Regulation 000000CI,Active,Compliance Group,High ,,,,,"Canada,US"
REG-00000039,Regulation 000000CI,Active,Compliance Group,High ,,,,,"Canada,Europe,US"
REG-00000039,Regulation 000000CI,Active,Compliance Group,High ,RQMT-00008647,Sub-Requirement 0QOMP,,,Canada
REG-00000039,Regulation 000000CI,Active,Compliance Group,High ,RQMT-00004083,Sub-Requirement 0M0QL,,,"Canada,US"
REG-00000039,Regulation 000000CI,Active,Compliance Group,High ,,,CTRL-00002671,Control  - RXWTXXIMXAYFPT,"Canada,US"
REG-00000039,Regulation 000000CI,Active,Compliance Group,High ,,,CTRL-00001456,Control  - XBDMZIZMGMXGRJ,Canada
REG-00000044,Regulation 000000DD,Expired,Business Group,,RQMT-00001340,Sub-Requirement 0JLM0,,,Canada
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003189,Sub-Requirement 0LJQR,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003180,Sub-Requirement 0LJQ0,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003029,Sub-Requirement 0L0KR,,,Canada
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003022,Sub-Requirement 0L0KK,,,Canada
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00002678,Sub-Requirement 0KOPQ,,,Canada
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00002587,Sub-Requirement 0KNQP,,,"Canada,Europe,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00002459,Sub-Requirement 0KMNR,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00002332,Sub-Requirement 0KLLK,,,Canada
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00001940,Sub-Requirement 0JRM0,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00001843,Sub-Requirement 0JQML,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00001810,Sub-Requirement 0JQJ0,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00001446,Sub-Requirement 0JMMO,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00001380,Sub-Requirement 0JLQ0,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00001314,Sub-Requirement 0JLJM,,,Canada
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00001040,Sub-Requirement 0J0M0,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00001030,Sub-Requirement 0J0L0,,,"Canada,Europe,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00000864,Sub-Requirement 00QOM,,,"Canada,Europe,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,,,,,"Canada,Europe,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,,,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00015298,Sub-Requirement JNKRQ,,,"Canada,Europe,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00005855,Sub-Requirement 0NQNN,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00005188,Sub-Requirement 0NJQQ,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00005151,Sub-Requirement 0NJNJ,,,Canada
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00005020,Sub-Requirement 0N0K0,,,Canada
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004978,Sub-Requirement 0MRPQ,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004770,Sub-Requirement 0MPP0,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004756,Sub-Requirement 0MPNO,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004735,Sub-Requirement 0MPLN,,,"Canada,Europe,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004716,Sub-Requirement 0MPJO,,,"Canada,Europe,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004711,Sub-Requirement 0MPJJ,,,"Canada,Europe,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004230,Sub-Requirement 0MKL0,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004228,Sub-Requirement 0MKKQ,,,"Canada,Europe,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004057,Sub-Requirement 0M0NP,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00004056,Sub-Requirement 0M0NO,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003931,Sub-Requirement 0LRLJ,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003838,Sub-Requirement 0LQLQ,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003828,Sub-Requirement 0LQKQ,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003614,Sub-Requirement 0LOJM,,,Canada
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003461,Sub-Requirement 0LMOJ,,,"Canada,US"
REG-00000045,Regulation 000000DE,Active,Business Group,Medium ,RQMT-00003301,Sub-Requirement 0LL0J,,,"Canada,US"
REG-00000051,Regulation 000000EA,Active,Business Group,High ,RQMT-00014602,Sub-Requirement JMO0K,,,"Canada,Europe,US"
REG-00000051,Regulation 000000EA,Active,Business Group,High ,,,,,"Canada,Europe,US"
REG-00000051,Regulation 000000EA,Active,Business Group,High ,RQMT-00014603,Sub-Requirement JMO0L,,,"Canada,Europe,US"
REG-00000052,Regulation 000000EB,Expired,Compliance Group,,RQMT-00002015,Sub-Requirement 0K0JN,,,"Canada,Europe,US"
REG-00000053,Regulation 000000EC,Expired,Legal Group,,RQMT-00003376,Sub-Requirement 0LLPO,,,Canada
REG-00000053,Regulation 000000EC,Expired,Legal Group,,RQMT-00003680,Sub-Requirement 0LOQ0,,,"Canada,Europe,US"
REG-00000053,Regulation 000000EC,Expired,Legal Group,,RQMT-00003378,Sub-Requirement 0LLPQ,,,"Canada,US"
REG-00000055,Regulation 000000EE,Expired,Legal Group,,RQMT-00001871,Sub-Requirement 0JQPJ,,,Canada
REG-00000055,Regulation 000000EE,Expired,Legal Group,,RQMT-00002010,Sub-Requirement 0K0J0,,,"Canada,US"
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00001818,Sub-Requirement 0JQJQ,,,Canada
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,,,CTRL-00001479,Control  - HIDMKXSAQENPWQ,"Canada,Europe,US"
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,,,,,"Canada,US"
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,,,,,"Canada,US"
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00004823,Sub-Requirement 0MQKL,,,"Canada,Europe,US"
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00004821,Sub-Requirement 0MQKJ,,,Canada
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00004782,Sub-Requirement 0MPQK,,,Canada
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00004734,Sub-Requirement 0MPLM,,,Canada
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00004036,Sub-Requirement 0M0LO,,,Canada
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00004026,Sub-Requirement 0M0KO,,,"Canada,US"
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00002031,Sub-Requirement 0K0LJ,,,Canada
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00002030,Sub-Requirement 0K0L0,,,"Canada,Europe,US"
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00002013,Sub-Requirement 0K0JL,,,"Canada,US"
REG-00000057,Regulation 000000EG,Expired,Compliance Group,,RQMT-00002011,Sub-Requirement 0K0JJ,,,"Canada,US"
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00004810,Sub-Requirement 0MQJ0,,,Canada
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,,,CTRL-00000305,Control  - XYGQRPPTFQIZJG,"Canada,US"
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,,,,,"Canada,Europe,US"
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,,,,,"Canada,US"
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,,,,,Canada
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015808,Sub-Requirement JNQ0Q,,,Canada
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015807,Sub-Requirement JNQ0P,,,"Canada,Europe,US"
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015806,Sub-Requirement JNQ0O,,,"Canada,Europe,US"
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015805,Sub-Requirement JNQ0N,,,Canada
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015804,Sub-Requirement JNQ0M,,,Canada
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015803,Sub-Requirement JNQ0L,,,Canada
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015802,Sub-Requirement JNQ0K,,,"Canada,US"
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015800,Sub-Requirement JNQ00,,,Canada
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015799,Sub-Requirement JNPRR,,,"Canada,US"
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015798,Sub-Requirement JNPRQ,,,Canada
REG-00000059,Regulation 000000EI,Active,Business Group,Medium ,RQMT-00015796,Sub-Requirement JNPRO,,,"Canada,US"
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,,,"Canada,Europe,US"
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00001881,Control  - OVYQUWQAUBPKUA,"Canada,Europe,US"
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00001224,Control  - POVOOKFWHOCREV,"Canada,US"
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00001190,Control  - WYBXLXQQOFZVAS,"Canada,US"
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00000919,Control  - UKNQBYIGDPZYEK,Canada
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00000653,Control  - JSAACSDYGWKOIP,"Canada,US"
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00000540,Control  - SMCXZMRVUXBHKO,"Canada,US"
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00000509,Control  - SNBBBZIUNIPXUS,"Canada,US"
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00000443,Control  - ZVUHSQMHQSQERW,Canada
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00000309,Control  - HQAUDWKWEEPDRD,Canada
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00000305,Control  - XYGQRPPTFQIZJG,Canada
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,CTRL-00000016,Control  - GDLMQVSMPBWGDQ,Canada
REG-00000060,Regulation 000000F0,Expired,Business Group,,,,,,Canada
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,RQMT-00001903,Sub-Requirement 0JR0L,,,"Canada,Europe,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,Europe,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,Europe,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,Europe,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,Canada
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,Canada
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,Canada
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,Europe,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,Europe,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,US"
REG-00000062,Regulation 000000FB,Active,Business Group,Medium ,,,,,"Canada,US"
